Student_ID,Full_Name,Gender,Date_of_Birth,Age_at_Graduation,Nationality,State_of_Origin,Admission_Year,Graduation_Year,Graduation_Date,Department,Faculty,Program,Final_CGPA,Class_of_Degree,Graduation_Status,Honors_or_Awards
YCT05761,Tunde Abimbola,Male,1992-07-10,27,Nigerian,Edo,2017,2019,2019-05-16,HND Business Administration,Management Sciences,HND Business Administration,1.21,Fail,Fail out,
YCT05762,John Saleh,Male,1998-09-16,26,Nigerian,Benue,2022,2024,2024-05-17,HND Business Administration,Management Sciences,HND Business Administration,0.79,Fail,Fail out,
YCT05763,Rasheedat Nwachukwu,Female,1998-07-13,25,Nigerian,Benue,2021,2023,2023-02-09,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,2.95,Lower Credit,Graduated,
YCT05764,Ọláchukwu Okoye,Female,1998-10-26,22,Nigerian,Plateau,2018,2020,2020-03-15,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,2.18,Pass,Graduated,
YCT05765,Michael Echendu,Male,2004-03-15,19,Nigerian,Borno,2021,2023,2023-05-15,ND Accountancy,Management Sciences,ND Accountancy,3.56,Distinction,Graduated,Dean's List
YCT05766,Ibrahim Ali,Male,1999-10-20,22,Nigerian,Jigawa,2019,2021,2021-10-25,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,0.78,Fail,Fail out,
YCT05767,Blessing Okonkwo,Female,1998-04-27,25,Nigerian,Bayelsa,2021,2023,2023-11-14,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,3.18,Upper Credit,Graduated,
YCT05768,Sulaiman Okonkwo,Male,2003-08-22,20,Nigerian,Bauchi,2021,2023,2023-06-24,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,2.99,Lower Credit,Graduated,
YCT05769,Amaka Olatunji,Female,2001-02-26,18,Nigerian,Delta,2017,2019,2019-01-03,ND Accountancy,Management Sciences,ND Accountancy,2.58,Lower Credit,Graduated,
YCT05770,Emeka Eze,Male,2000-04-13,19,Nigerian,Ekiti,2017,2019,2019-02-11,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,3.88,Distinction,Graduated,Best Graduating Student
YCT05771,Tobiloba Ajayi,Male,1997-07-19,22,Nigerian,Delta,2017,2019,2019-06-08,ND Computer Science,Science,ND Computer Science,2.68,Lower Credit,Graduated,
YCT05772,Tobiloba Okoye,Male,2002-05-03,18,Nigerian,FCT,2018,2020,2020-04-08,ND Computer Science,Science,ND Computer Science,0.84,Fail,Fail out,
YCT05773,Chiamaka Adedeji,Female,1997-09-10,23,Nigerian,Lagos,2018,2020,2020-04-17,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,0.67,Fail,Fail out,
YCT05774,Femi Musa,Male,2000-11-03,24,Nigerian,Yobe,2022,2024,2024-03-09,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,3.81,Distinction,Graduated,Best Graduating Student
YCT05775,David Jimoh,Male,2000-06-03,25,Nigerian,Borno,2023,2025,2025-04-03,HND Accountancy,Management Sciences,HND Accountancy,2.63,Lower Credit,Graduated,
YCT05776,John Ebong,Male,2004-03-26,21,Nigerian,Plateau,2023,2025,2025-04-02,ND Business Administration,Management Sciences,ND Business Administration,2.27,Pass,Graduated,
YCT05777,Abike Jimoh,Female,2002-09-22,21,Nigerian,Enugu,2021,2023,2023-03-27,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,1.27,Fail,Fail out,
YCT05778,Chinedu Ali,Male,1999-12-07,20,Nigerian,Ondo,2017,2019,2019-03-03,HND Computer Science,Science,HND Computer Science,2.16,Pass,Graduated,
YCT05779,Oluseyi Okechukwu,Male,1998-05-13,25,Nigerian,Katsina,2021,2023,2023-12-22,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,2.74,Lower Credit,Graduated,
YCT05780,Abdullahi Jimoh,Male,1996-10-15,25,Nigerian,Nasarawa,2019,2021,2021-09-08,HND Accountancy,Management Sciences,HND Accountancy,1.76,Fail,Fail out,
YCT05781,Mercy Enahoro,Female,1998-09-15,25,Nigerian,Kano,2021,2023,2023-10-01,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,1.1,Fail,Fail out,
YCT05782,Aisha Okoye,Female,2000-09-09,22,Nigerian,Ebonyi,2020,2022,2022-09-09,ND Accountancy,Management Sciences,ND Accountancy,2.58,Lower Credit,Graduated,
YCT05783,Uche Ogunleye,Male,2005-07-02,19,Nigerian,Kebbi,2022,2024,2024-08-25,ND Computer Science,Science,ND Computer Science,2.61,Lower Credit,Graduated,
YCT05784,Christy Ogunleye,Female,2000-01-12,20,Nigerian,Katsina,2018,2020,2020-04-22,HND Business Administration,Management Sciences,HND Business Administration,2.09,Pass,Graduated,
YCT05785,Chinedu Eze,Male,2000-10-05,19,Nigerian,Kwara,2017,2019,2019-01-14,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,2.08,Pass,Graduated,
YCT05786,Aisha Okoye,Female,1999-05-06,26,Nigerian,Bayelsa,2023,2025,2025-03-03,HND Business Administration,Management Sciences,HND Business Administration,2.1,Pass,Graduated,
YCT05787,Ngozi Onyeka,Female,1997-10-02,26,Nigerian,Delta,2021,2023,2023-05-13,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,1.07,Fail,Fail out,
YCT05788,Ọláchukwu Ibrahim,Female,1997-05-14,27,Nigerian,Oyo,2022,2024,2024-08-11,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,1.94,Fail,Fail out,
YCT05789,Yetunde Echendu,Female,1996-12-26,27,Nigerian,Oyo,2021,2023,2023-05-24,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,0.31,Fail,Fail out,
YCT05790,Oluseyi Adeoye,Male,1996-12-04,24,Nigerian,Jigawa,2018,2020,2020-04-28,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,1.82,Fail,Fail out,
YCT05791,Ọláchukwu Abimbola,Female,2001-11-02,20,Nigerian,Kebbi,2019,2021,2021-08-21,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,1.4,Fail,Fail out,
YCT05792,Aisha Oloruntoba,Female,1993-08-28,26,Nigerian,Delta,2017,2019,2019-09-21,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,2.61,Lower Credit,Graduated,
YCT05793,Sulaiman Saleh,Male,1999-02-26,20,Nigerian,Nasarawa,2017,2019,2019-05-16,ND Computer Science,Science,ND Computer Science,0.68,Fail,Fail out,
YCT05794,Tunde Adebayo,Male,2002-02-08,21,Nigerian,Enugu,2021,2023,2023-01-12,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,0.51,Fail,Fail out,
YCT05795,Uche Ogunlana,Male,2003-06-14,22,Nigerian,Ondo,2023,2025,2025-08-04,ND Architecture,Environmental Design,ND Architecture,1.06,Fail,Fail out,
YCT05796,Tunde Kolawole,Male,1998-09-05,21,Nigerian,Edo,2017,2019,2019-01-08,ND Computer Science,Science,ND Computer Science,0.33,Fail,Fail out,
YCT05797,Fatima Oloruntoba,Female,1998-08-13,21,Nigerian,Ekiti,2017,2019,2019-01-21,HND Architecture,Environmental Design,HND Architecture,0.2,Fail,Fail out,
YCT05798,Chibuzor Jimoh,Male,1996-11-08,26,Nigerian,Ekiti,2020,2022,2022-03-02,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,1.7,Fail,Fail out,
YCT05799,Ọláchukwu Ajayi,Female,2001-11-07,22,Nigerian,Rivers,2021,2023,2023-03-20,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,2.13,Pass,Graduated,
YCT05800,Fatima Sani,Female,1997-09-07,22,Nigerian,Oyo,2017,2019,2019-05-26,ND Computer Science,Science,ND Computer Science,3.64,Distinction,Graduated,Dean's List
YCT05801,Aisha Enahoro,Female,2002-08-17,21,Nigerian,Taraba,2021,2023,2023-02-09,HND Accountancy,Management Sciences,HND Accountancy,0.03,Fail,Fail out,
YCT05802,Abdullahi Abubakar,Male,1996-08-09,23,Nigerian,Kano,2017,2019,2019-03-23,ND Computer Science,Science,ND Computer Science,0.49,Fail,Fail out,
YCT05803,Yetunde Echendu,Female,2002-07-24,21,Nigerian,Gombe,2021,2023,2023-07-06,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,3.08,Upper Credit,Graduated,
YCT05804,Ọláchukwu Osho,Female,1998-12-26,26,Nigerian,FCT,2022,2024,2024-12-17,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,2.27,Pass,Graduated,
YCT05805,Chiamaka Ogunleye,Female,2004-10-08,18,Nigerian,Kano,2020,2022,2022-05-12,HND Business Administration,Management Sciences,HND Business Administration,3.37,Upper Credit,Graduated,Dean's List
YCT05806,Esther Oloruntoba,Female,1995-05-20,24,Nigerian,Kogi,2017,2019,2019-11-06,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,3.6,Distinction,Graduated,Dean's List
YCT05807,Christy Adebayo,Female,1999-07-25,23,Nigerian,Niger,2020,2022,2022-09-26,ND Accountancy,Management Sciences,ND Accountancy,0.6,Fail,Fail out,
YCT05808,Abike Osagie,Female,2002-07-06,22,Nigerian,Taraba,2022,2024,2024-08-21,ND Computer Science,Science,ND Computer Science,0.94,Fail,Fail out,
YCT05809,Fatima Saleh,Female,2001-05-01,20,Nigerian,Bauchi,2019,2021,2021-06-28,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,3.22,Upper Credit,Graduated,
YCT05810,Tunde Ebong,Male,2001-08-23,21,Nigerian,Lagos,2020,2022,2022-05-07,ND Accountancy,Management Sciences,ND Accountancy,1.17,Fail,Fail out,
YCT05811,Chinedu Kolawole,Male,2000-03-16,23,Nigerian,FCT,2021,2023,2023-12-04,HND Computer Science,Science,HND Computer Science,0.11,Fail,Fail out,
YCT05812,Ọláchukwu Sani,Female,2002-04-02,21,Nigerian,Sokoto,2021,2023,2023-07-28,HND Computer Science,Science,HND Computer Science,1.36,Fail,Fail out,
YCT05813,David Okoro,Male,2003-06-27,22,Nigerian,FCT,2023,2025,2025-03-08,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,1.63,Fail,Fail out,
YCT05814,Chukwuemeka Okoro,Male,1998-12-23,23,Nigerian,Kaduna,2019,2021,2021-05-17,ND Architecture,Environmental Design,ND Architecture,0.58,Fail,Fail out,
YCT05815,Patrick Ogunbiyi,Male,1995-06-12,26,Nigerian,Jigawa,2019,2021,2021-06-03,HND Business Administration,Management Sciences,HND Business Administration,0.59,Fail,Fail out,
YCT05816,Ọláchukwu Adebayo,Female,2006-09-10,18,Nigerian,Anambra,2022,2024,2024-12-06,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,3.14,Upper Credit,Graduated,
YCT05817,Chiamaka Okafor,Female,2002-12-19,19,Nigerian,Cross River,2019,2021,2021-03-09,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,1.66,Fail,Fail out,
YCT05818,Hadiza Adeoye,Female,1998-03-01,27,Nigerian,Yobe,2023,2025,2025-05-18,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,0.35,Fail,Fail out,
YCT05819,Abike Echendu,Female,2002-04-04,18,Nigerian,Zamfara,2018,2020,2020-09-01,HND Business Administration,Management Sciences,HND Business Administration,1.12,Fail,Fail out,
YCT05820,Esther Adedeji,Female,1998-04-17,23,Nigerian,Oyo,2019,2021,2021-11-03,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,2.85,Lower Credit,Graduated,
YCT05821,Tunde Adedeji,Male,2000-05-27,23,Nigerian,Borno,2021,2023,2023-06-18,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,2.32,Pass,Graduated,
YCT05822,Abimbola Yakubu,Female,1996-12-12,27,Nigerian,Taraba,2021,2023,2023-08-16,HND Accountancy,Management Sciences,HND Accountancy,1.92,Fail,Fail out,
YCT05823,Temitope Osho,Male,2002-08-03,18,Nigerian,Nasarawa,2018,2020,2020-10-05,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,3.7,Distinction,Graduated,Dean's List
YCT05824,David Ali,Male,1998-05-21,25,Nigerian,Niger,2021,2023,2023-10-11,ND Architecture,Environmental Design,ND Architecture,1.19,Fail,Fail out,
YCT05825,Abdullahi Bello,Male,2000-07-15,20,Nigerian,Lagos,2018,2020,2020-08-23,HND Business Administration,Management Sciences,HND Business Administration,2.98,Lower Credit,Graduated,
YCT05826,Sulaiman Ali,Male,1996-04-12,23,Nigerian,Akwa Ibom,2017,2019,2019-11-10,ND Architecture,Environmental Design,ND Architecture,0.37,Fail,Fail out,
YCT05827,Tobiloba Enahoro,Male,2005-12-23,20,Nigerian,Nasarawa,2023,2025,2025-03-25,ND Architecture,Environmental Design,ND Architecture,3.47,Upper Credit,Graduated,Dean's List
YCT05828,John Abubakar,Male,2003-07-01,19,Nigerian,Cross River,2020,2022,2022-05-07,ND Computer Science,Science,ND Computer Science,1.33,Fail,Fail out,
YCT05829,Femi Kolawole,Male,1996-06-21,27,Nigerian,Jigawa,2021,2023,2023-09-24,HND Accountancy,Management Sciences,HND Accountancy,2.1,Pass,Graduated,
YCT05830,Chiamaka Adeoye,Female,2000-08-07,25,Nigerian,Katsina,2023,2025,2025-04-05,ND Accountancy,Management Sciences,ND Accountancy,1.15,Fail,Fail out,
YCT05831,John Okafor,Male,1996-09-23,24,Nigerian,Kogi,2018,2020,2020-04-11,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,2.68,Lower Credit,Graduated,
YCT05832,Emeka Okonkwo,Male,2000-01-07,19,Nigerian,Kaduna,2017,2019,2019-07-26,ND Business Administration,Management Sciences,ND Business Administration,1.75,Fail,Fail out,
YCT05833,Folashade Ebong,Female,2001-01-18,24,Nigerian,Imo,2023,2025,2025-08-03,ND Business Administration,Management Sciences,ND Business Administration,3.15,Upper Credit,Graduated,
YCT05834,Uche Ibe,Male,2005-03-17,19,Nigerian,Plateau,2022,2024,2024-12-06,ND Architecture,Environmental Design,ND Architecture,2.13,Pass,Graduated,
YCT05835,Aisha Sani,Female,1997-09-25,26,Nigerian,Osun,2021,2023,2023-02-24,ND Accountancy,Management Sciences,ND Accountancy,3.21,Upper Credit,Graduated,
YCT05836,Seun Bello,Male,1999-08-15,23,Nigerian,Oyo,2020,2022,2022-01-27,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,0.52,Fail,Fail out,
YCT05837,Folashade Olawale,Female,1998-01-09,21,Nigerian,Yobe,2017,2019,2019-10-23,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,3.1,Upper Credit,Graduated,
YCT05838,Fatima Bello,Female,2000-05-13,24,Nigerian,Kano,2022,2024,2024-03-01,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,3.34,Upper Credit,Graduated,
YCT05839,Ibrahim Ali,Male,2000-12-26,24,Nigerian,Katsina,2022,2024,2024-04-16,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,1.65,Fail,Fail out,
YCT05840,David Osagie,Male,2002-12-03,19,Nigerian,Ogun,2019,2021,2021-03-04,ND Accountancy,Management Sciences,ND Accountancy,0.76,Fail,Fail out,
YCT05841,Chibuzor Ibe,Male,2002-09-20,19,Nigerian,Kogi,2019,2021,2021-02-10,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,3.19,Upper Credit,Graduated,
YCT05842,Rasheedat Osho,Female,2001-06-28,22,Nigerian,Taraba,2021,2023,2023-05-05,ND Architecture,Environmental Design,ND Architecture,2.58,Lower Credit,Graduated,
YCT05843,Blessing Okechukwu,Female,1994-08-02,26,Nigerian,Adamawa,2018,2020,2020-01-14,HND Accountancy,Management Sciences,HND Accountancy,1.13,Fail,Fail out,
YCT05844,Abdullahi Jimoh,Male,1999-01-26,22,Nigerian,Plateau,2019,2021,2021-04-10,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,2.69,Lower Credit,Graduated,
YCT05845,David Okechukwu,Male,1994-01-08,27,Nigerian,Kano,2019,2021,2021-09-26,ND Architecture,Environmental Design,ND Architecture,3.1,Upper Credit,Incomplete,
YCT05846,Michael Adeoye,Male,1999-08-26,22,Nigerian,Imo,2019,2021,2021-01-19,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,0.95,Fail,Fail out,
YCT05847,Ngozi Adeoye,Female,1994-07-07,25,Nigerian,Borno,2017,2019,2019-09-19,ND Accountancy,Management Sciences,ND Accountancy,0.6,Fail,Fail out,
YCT05848,Mercy Enahoro,Female,1999-04-03,21,Nigerian,Delta,2018,2020,2020-07-21,HND Computer Science,Science,HND Computer Science,2.52,Lower Credit,Graduated,
YCT05849,Femi Onyeka,Male,1993-02-28,26,Nigerian,Bauchi,2017,2019,2019-12-02,ND Business Administration,Management Sciences,ND Business Administration,2.02,Pass,Graduated,
YCT05850,Uche Adedeji,Male,2000-07-05,25,Nigerian,Imo,2023,2025,2025-01-20,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,3.9,Distinction,Graduated,Best Graduating Student
YCT05851,Emeka Ali,Male,2000-10-07,25,Nigerian,FCT,2023,2025,2025-05-06,ND Architecture,Environmental Design,ND Architecture,2.38,Pass,Graduated,
YCT05852,Fatima Abimbola,Female,1997-06-07,25,Nigerian,Edo,2020,2022,2022-09-13,HND Architecture,Environmental Design,HND Architecture,2.63,Lower Credit,Graduated,
YCT05853,Hadiza Adebayo,Female,1999-07-17,26,Nigerian,Kaduna,2023,2025,2025-01-27,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,0.71,Fail,Fail out,
YCT05854,Abimbola Ahmed,Female,1996-11-26,26,Nigerian,Gombe,2020,2022,2022-02-10,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,0.09,Fail,Fail out,
YCT05855,Chinelo Osho,Female,2000-11-17,22,Nigerian,Kano,2020,2022,2022-04-14,HND Accountancy,Management Sciences,HND Accountancy,3.93,Distinction,Graduated,Best Graduating Student
YCT05856,Abimbola Ogunlana,Female,1999-08-17,24,Nigerian,Katsina,2021,2023,2023-12-28,ND Architecture,Environmental Design,ND Architecture,2.84,Lower Credit,Graduated,
YCT05857,Tobiloba Ogunlana,Male,1995-08-01,24,Nigerian,Kebbi,2017,2019,2019-01-01,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,2.15,Pass,Graduated,
YCT05858,Amaka Ahmed,Female,2004-10-10,20,Nigerian,Kwara,2022,2024,2024-01-28,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,1.65,Fail,Fail out,
YCT05859,Yetunde Ibe,Female,2000-10-25,21,Nigerian,Enugu,2019,2021,2021-01-05,HND Business Administration,Management Sciences,HND Business Administration,1.46,Fail,Fail out,
YCT05860,Ugochi Okechukwu,Female,1998-03-07,21,Nigerian,Nasarawa,2017,2019,2019-06-25,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,3.58,Distinction,Graduated,Dean's List
YCT05861,Amaka Ibrahim,Female,2003-03-27,18,Nigerian,Taraba,2019,2021,2021-04-22,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,0.08,Fail,Fail out,
YCT05862,David Adedeji,Male,2003-11-04,22,Nigerian,Kebbi,2023,2025,2025-01-18,ND Computer Science,Science,ND Computer Science,3.39,Upper Credit,Graduated,
YCT05863,Temitope Oladele,Male,1998-04-28,22,Nigerian,Akwa Ibom,2018,2020,2020-01-16,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,1.87,Fail,Fail out,
YCT05864,Christy Ogunbiyi,Female,2005-09-23,19,Nigerian,Enugu,2022,2024,2024-10-06,HND Architecture,Environmental Design,HND Architecture,2.24,Pass,Graduated,
YCT05865,Ugochi Adeoye,Female,1998-01-21,24,Nigerian,Edo,2020,2022,2022-05-24,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,2.22,Pass,Graduated,
YCT05866,Chibuzor Ibe,Male,2006-08-13,19,Nigerian,Niger,2023,2025,2025-05-11,HND Accountancy,Management Sciences,HND Accountancy,3.59,Distinction,Graduated,Dean's List
YCT05867,Patrick Okoro,Male,1996-07-27,26,Nigerian,Kwara,2020,2022,2022-05-02,ND Business Administration,Management Sciences,ND Business Administration,0.26,Fail,Fail out,
YCT05868,Christy Adedeji,Female,1998-09-10,22,Nigerian,Enugu,2018,2020,2020-06-06,HND Computer Science,Science,HND Computer Science,0.48,Fail,Fail out,
YCT05869,Abike Ali,Female,1998-06-14,21,Nigerian,Rivers,2017,2019,2019-04-27,HND Architecture,Environmental Design,HND Architecture,0.72,Fail,Fail out,
YCT05870,Christy Ogunlana,Female,1993-07-04,26,Nigerian,Cross River,2017,2019,2019-03-01,ND Accountancy,Management Sciences,ND Accountancy,2.36,Pass,Graduated,
YCT05871,Chiamaka Nwachukwu,Female,1999-05-27,24,Nigerian,Oyo,2021,2023,2023-06-24,HND Business Administration,Management Sciences,HND Business Administration,0.46,Fail,Fail out,
YCT05872,Chukwuemeka Bello,Male,2002-04-12,19,Nigerian,Ondo,2019,2021,2021-10-22,ND Business Administration,Management Sciences,ND Business Administration,0.57,Fail,Fail out,
YCT05873,Oluseyi Adebayo,Male,2002-05-25,20,Nigerian,Katsina,2020,2022,2022-09-01,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,0.58,Fail,Fail out,
YCT05874,Tobiloba Enahoro,Male,1997-05-01,25,Nigerian,Bayelsa,2020,2022,2022-05-13,ND Architecture,Environmental Design,ND Architecture,3.33,Upper Credit,Graduated,
YCT05875,Emeka Eze,Male,1999-09-10,25,Nigerian,Katsina,2022,2024,2024-07-21,HND Computer Science,Science,HND Computer Science,3.24,Upper Credit,Graduated,
YCT05876,Patrick Balogun,Male,1998-08-08,25,Nigerian,Rivers,2021,2023,2023-11-15,ND Architecture,Environmental Design,ND Architecture,0.17,Fail,Fail out,
YCT05877,Abike Osagie,Female,2003-12-02,22,Nigerian,Adamawa,2023,2025,2025-04-22,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,0.54,Fail,Fail out,
YCT05878,Ifeoma Utomi,Female,1997-02-02,22,Nigerian,Adamawa,2017,2019,2019-03-17,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,2.34,Pass,Graduated,
YCT05879,Tolulope Ogunleye,Female,1995-12-16,26,Nigerian,Katsina,2019,2021,2021-05-12,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,0.35,Fail,Fail out,
YCT05880,Rasheedat Eze,Female,1998-12-14,27,Nigerian,Ekiti,2023,2025,2025-02-25,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,2.67,Lower Credit,Graduated,
YCT05881,Seun Adedeji,Male,2002-06-16,22,Nigerian,Kaduna,2022,2024,2024-12-01,ND Science Laboratory Technology,Science,ND Science Laboratory Technology,3.21,Upper Credit,Graduated,
YCT05882,Ngozi Adedeji,Female,1998-03-08,21,Nigerian,Cross River,2017,2019,2019-04-27,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,2.85,Lower Credit,Graduated,
YCT05883,Chinedu Ahmed,Male,2001-05-26,18,Nigerian,Nasarawa,2017,2019,2019-09-15,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,2.91,Lower Credit,Graduated,
YCT05884,Rasheedat Adeoye,Female,2001-09-02,21,Nigerian,Osun,2020,2022,2022-10-26,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,0.22,Fail,Fail out,
YCT05885,Tunde Ali,Male,2003-07-03,19,Nigerian,Delta,2020,2022,2022-12-13,ND Business Administration,Management Sciences,ND Business Administration,3.85,Distinction,Graduated,Best Graduating Student
YCT05886,Ibrahim Okafor,Male,2002-11-15,23,Nigerian,Abia,2023,2025,2025-01-24,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,3.15,Upper Credit,Graduated,
YCT05887,Abike Okoye,Female,1992-10-05,27,Nigerian,Kaduna,2017,2019,2019-06-03,HND Electrical/Electronics Engineering,Engineering,HND Electrical/Electronics Engineering,3.58,Distinction,Graduated,Dean's List
YCT05888,Christy Kolawole,Female,1994-11-12,26,Nigerian,Enugu,2018,2020,2020-02-11,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,1.1,Fail,Fail out,
YCT05889,Blessing Lawal,Female,1999-03-13,22,Nigerian,Imo,2019,2021,2021-09-24,ND Computer Science,Science,ND Computer Science,2.08,Pass,Graduated,
YCT05890,Seun Oladele,Male,1995-09-17,26,Nigerian,Borno,2019,2021,2021-09-28,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,1.04,Fail,Fail out,
YCT05891,Chinelo Olatunji,Female,1998-01-17,21,Nigerian,Nasarawa,2017,2019,2019-11-11,HND Architecture,Environmental Design,HND Architecture,1.15,Fail,Fail out,
YCT05892,Temitope Ajayi,Male,1999-08-08,20,Nigerian,Nasarawa,2017,2019,2019-07-17,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,3.52,Distinction,Graduated,Dean's List
YCT05893,Christy Jimoh,Female,1999-04-25,24,Nigerian,Nasarawa,2021,2023,2023-11-05,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,3.8,Distinction,Graduated,Best Graduating Student
YCT05894,Ibrahim Ajayi,Male,1998-05-27,24,Nigerian,FCT,2020,2022,2022-08-18,ND Computer Science,Science,ND Computer Science,2.18,Pass,Graduated,
YCT05895,Chukwuemeka Oladele,Male,1999-07-14,24,Nigerian,Kano,2021,2023,2023-04-25,HND Accountancy,Management Sciences,HND Accountancy,1.39,Fail,Fail out,
YCT05896,Seun Utomi,Male,2003-03-18,20,Nigerian,Jigawa,2021,2023,2023-11-22,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,2.57,Lower Credit,Graduated,
YCT05897,Seun Ogunlana,Male,1995-03-14,25,Nigerian,Kebbi,2018,2020,2020-07-27,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,3.44,Upper Credit,Graduated,Dean's List
YCT05898,Mercy Ogunlana,Female,2002-10-04,23,Nigerian,Ogun,2023,2025,2025-05-06,ND Accountancy,Management Sciences,ND Accountancy,1.89,Fail,Fail out,
YCT05899,Patrick Bello,Male,2004-07-18,20,Nigerian,Kebbi,2022,2024,2024-12-04,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,3.26,Upper Credit,Graduated,
YCT05900,Tobiloba Okafor,Male,2005-10-28,18,Nigerian,Adamawa,2021,2023,2023-09-27,HND Urban and Regional Planning,Environmental Design,HND Urban and Regional Planning,0.78,Fail,Fail out,
YCT05901,Rasheedat Nwachukwu,Female,1995-03-28,27,Nigerian,Cross River,2020,2022,2022-12-07,ND Urban and Regional Planning,Environmental Design,ND Urban and Regional Planning,0.59,Fail,Fail out,
YCT05902,Rasheedat Olatunji,Female,1999-01-24,24,Nigerian,Enugu,2021,2023,2023-12-07,ND Business Administration,Management Sciences,ND Business Administration,1.82,Fail,Fail out,
YCT05903,Ifeoma Onyeka,Female,1994-08-02,27,Nigerian,Kwara,2019,2021,2021-10-12,ND Business Administration,Management Sciences,ND Business Administration,1.25,Fail,Fail out,
YCT05904,Chinedu Nwachukwu,Male,1998-12-17,23,Nigerian,Bayelsa,2019,2021,2021-11-07,ND Electrical/Electronics Engineering,Engineering,ND Electrical/Electronics Engineering,0.18,Fail,Fail out,
YCT05905,Fatima Osho,Female,1998-08-15,26,Nigerian,Kebbi,2022,2024,2024-02-20,HND Science Laboratory Technology,Science,HND Science Laboratory Technology,1.67,Fail,Fail out,
